********* Instance Sheet2 *********
Number of jobs: 30
Min processing time: 1
Max processing time: 100

___________________________________
| # | Processing time| Release time|
|==================================|
| 1 | 90             | 153         |
| 2 | 39             | 415         |
| 3 | 33             | 284         |
| 4 | 64             | 387         |
| 5 | 83             | 336         |
| 6 | 78             | 78          |
| 7 | 17             | 113         |
| 8 | 40             | 0           |
| 9 | 30             | 0           |
| 10| 66             | 9           |
| 11| 19             | 322         |
| 12| 16             | 125         |
| 13| 88             | 108         |
| 14| 37             | 0           |
| 15| 49             | 430         |
| 16| 24             | 53          |
| 17| 29             | 139         |
| 18| 82             | 43          |
| 19| 4              | 243         |
| 20| 38             | 394         |
| 21| 60             | 405         |
| 22| 96             | 0           |
| 23| 87             | 0           |
| 24| 11             | 376         |
| 25| 23             | 90          |
| 26| 60             | 115         |
| 27| 23             | 263         |
| 28| 60             | 95          |
| 29| 10             | 0           |
| 30| 1              | 401         |
************************************



