********* Instance Sheet6 *********
Number of jobs: 60
Min processing time: 1
Max processing time: 100

___________________________________
| # | Processing time| Release time|
|==================================|
| 1 | 23             | 1935        |
| 2 | 54             | 834         |
| 3 | 68             | 136         |
| 4 | 38             | 655         |
| 5 | 41             | 439         |
| 6 | 91             | 2084        |
| 7 | 76             | 1484        |
| 8 | 25             | 1           |
| 9 | 19             | 1329        |
| 10| 38             | 2241        |
| 11| 58             | 1961        |
| 12| 37             | 1333        |
| 13| 21             | 1500        |
| 14| 87             | 538         |
| 15| 79             | 1224        |
| 16| 32             | 538         |
| 17| 45             | 1666        |
| 18| 22             | 1021        |
| 19| 2              | 1182        |
| 20| 2              | 376         |
| 21| 74             | 1057        |
| 22| 71             | 2798        |
| 23| 5              | 2343        |
| 24| 40             | 1076        |
| 25| 27             | 1412        |
| 26| 26             | 2546        |
| 27| 85             | 1420        |
| 28| 74             | 1971        |
| 29| 91             | 1881        |
| 30| 93             | 30          |
| 31| 13             | 2383        |
| 32| 99             | 1427        |
| 33| 37             | 228         |
| 34| 86             | 926         |
| 35| 5              | 444         |
| 36| 53             | 0           |
| 37| 2              | 2125        |
| 38| 85             | 1855        |
| 39| 73             | 2822        |
| 40| 19             | 0           |
| 41| 80             | 617         |
| 42| 20             | 1439        |
| 43| 93             | 210         |
| 44| 84             | 556         |
| 45| 18             | 1489        |
| 46| 64             | 2778        |
| 47| 26             | 1909        |
| 48| 39             | 2358        |
| 49| 77             | 1504        |
| 50| 34             | 1492        |
| 51| 8              | 258         |
| 52| 40             | 417         |
| 53| 51             | 464         |
| 54| 55             | 2193        |
| 55| 80             | 1644        |
| 56| 84             | 766         |
| 57| 67             | 1148        |
| 58| 50             | 1820        |
| 59| 24             | 1675        |
| 60| 44             | 2661        |
************************************



